id,category_id,product_type,product_name,purchase_price,retail_price,wholesale_price,min_stock,tracking_mode,active,created_at,updated_at
39,2,Family Pack,Vanilla,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
40,2,Family Pack,Chocolate,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
41,2,Family Pack,Butter Scotch,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
42,2,Family Pack,Anjeera,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
10,2,Ice Bar,Choco Bar,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
44,2,Family Pack,Caramel,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
43,2,Family Pack,Rajbog,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
11,2,Ice Bar,Mango Ice,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
12,2,Ice Bar,Grape Ice,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
13,2,Ice Bar,Orange Ice,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
14,2,Kulfi,Kulfi,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
15,2,Kulfi,Matka Kulfi,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
16,2,Kulfi,Ripples,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
17,2,Kulfi,Swinger,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
18,2,Kulfi,Magic,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
19,2,Cup,Cup 10,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:29.259489,2026-08-03 08:46:29.259489
45,3,Campa Cola,Campa Cola 250ml,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:50.229251,2026-08-03 08:46:50.229251
47,3,Campa Cola,Campa Cola 1L,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:50.229251,2026-08-03 08:46:50.229251
46,3,Campa Cola,Campa Cola 500ml,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:50.229251,2026-08-03 08:46:50.229251
51,3,Campa Lemon,Campa Lemon 500ml,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:50.229251,2026-08-03 08:46:50.229251
50,3,Campa Lemon,Campa Lemon 250ml,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:50.229251,2026-08-03 08:46:50.229251
49,3,Campa Orange,Campa Orange 500ml,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:50.229251,2026-08-03 08:46:50.229251
48,3,Campa Orange,Campa Orange 250ml,0.00,0.00,0.00,0,PERIODIC,true,2026-08-03 08:46:50.229251,2026-08-03 08:46:50.229251
52,4,Chapathi,Chapathi Pack,0.00,0.00,0.00,0,DAILY,true,2026-08-03 08:47:03.216384,2026-08-03 08:47:03.216384
53,4,Poori,Poori Pack,0.00,0.00,0.00,0,DAILY,true,2026-08-03 08:47:03.216384,2026-08-03 08:47:03.216384
